Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Australia,2020-07-29 18:35:04,-25.0,133.0,15583.0,176.0,9619.0,5788.0,61.206534248243294,,,1.1294359237630751,36,AUS
Austria,2020-07-29 18:35:04,47.5162,14.5501,20850.0,716.0,18528.0,1606.0,231.5020429916504,,,3.434052757793765,40,AUT
Canada,2020-07-29 18:35:04,60.00100000000001,-95.001,117118.0,8958.0,101794.0,6367.0,309.3800770092706,,,7.648696186751822,124,CAN
China,2020-07-29 18:35:04,30.5928,114.3055,87108.0,4658.0,80521.0,1929.0,6.201286242219231,,,5.347384855581577,156,CHN
Denmark,2020-07-29 18:35:04,56.2639,9.5018,13868.0,614.0,12686.0,568.0,239.4253101971737,,,4.427458898182867,208,DNK
Finland,2020-07-29 18:35:04,61.9241,25.7482,7414.0,329.0,6950.0,135.0,133.80937272028643,,,4.4375505799838155,246,FIN
France,2020-07-29 18:35:04,46.2276,2.2137,221077.0,30226.0,81441.0,109410.0,338.6932818935804,,,13.672159473848476,250,FRA
Germany,2020-07-29 18:35:04,51.165691,10.451526,208546.0,9135.0,191279.0,8132.0,248.90926298588593,,,4.380328560605334,276,DEU
Iceland,2020-07-29 18:35:04,64.9631,-19.0208,1861.0,10.0,1823.0,28.0,545.3479853479854,,,0.537345513164965,352,ISL
Ireland,2020-07-29 18:35:04,53.1424,-7.6921,25942.0,1764.0,23364.0,814.0,525.376098972092,,,6.799784133837021,372,IRL
Italy,2020-07-29 18:35:04,41.8719,12.5674,246776.0,35129.0,199031.0,12616.0,408.1517350087397,,,14.235176840535546,380,ITA
Netherlands,2020-07-29 18:35:04,52.3167,5.55,53647.0,6164.0,196.0,47287.0,313.0866508319029,,,11.489924879303596,528,NLD
Norway,2020-07-29 18:35:04,60.472,8.4689,9158.0,255.0,8752.0,151.0,168.92807958028806,,,2.784450753439616,578,NOR
Russia,2020-07-29 18:35:04,61.524,105.3188,827509.0,13650.0,619204.0,194655.0,567.0415335760998,,,1.649528887299111,643,RUS
Sweden,2020-07-29 18:35:04,60.1282,18.6435,79782.0,5730.0,,74052.0,789.9778894910228,,,7.182071143867037,752,SWE
Switzerland,2020-07-29 18:35:04,46.8182,8.2275,34802.0,1979.0,31000.0,1823.0,402.12057886321503,,,5.686454801448193,756,CHE
United Kingdom,2020-07-29 18:35:04,55.0,-3.0,303092.0,46046.0,1438.0,255608.0,446.4720003257225,,,15.192086891108971,826,GBR
US,2020-07-29 18:35:04,40.0,-100.0,4390491.0,149961.0,1355363.0,2088178.0,1332.6070759113154,,,3.4155860927627457,840,USA
Spain,2020-07-29 18:35:04,40.463667,-3.74922,282641.0,28441.0,150376.0,103824.0,604.5178308281315,,,10.062588230299212,724,ESP
Mexico,2020-07-29 18:35:04,23.6345,-102.5528,402697.0,44876.0,308142.0,49679.0,315.11839454847853,,,11.14386250704624,484,MEX
Chile,2020-07-29 18:35:04,-35.6751,-71.543,351575.0,9278.0,324557.0,17740.0,1839.1460357019528,,,2.6389817250942187,152,CHL
Brazil,2020-07-29 18:35:04,-14.235,-51.9253,2483191.0,88539.0,1885035.0,509617.0,1168.2338653849006,,,3.565533219152292,76,BRA
Peru,2020-07-29 18:35:04,-9.19,-75.0152,395005.0,18612.0,276452.0,99941.0,1198.0069299122654,,,4.711839090644421,604,PER
Colombia,2020-07-29 18:35:04,4.5709,-74.2973,267385.0,9074.0,136690.0,121621.0,525.4910472448851,,,3.3936084671915028,170,COL
Japan,2020-07-29 18:35:04,36.204824,138.252924,33362.0,1001.0,23351.0,9010.0,26.37803155429922,,,3.0004196391103655,392,JPN
Ukraine,2020-07-29 18:35:04,48.3794,31.1656,69078.0,1673.0,38523.0,28882.0,157.95120652674748,,,2.4218998812936103,804,UKR
India,2020-07-29 18:35:04,20.593684,78.96288,1531669.0,34193.0,988029.0,509447.0,110.99015457113927,,,2.2324013869837414,356,IND
Pakistan,2020-07-29 18:35:04,30.3753,69.3451,276288.0,5892.0,244883.0,25513.0,125.07813139062759,,,2.1325573314801947,586,PAK
Afghanistan,2020-07-29 18:35:04,33.93911,67.709953,36471.0,1271.0,25389.0,9811.0,93.68752703846279,,,3.4849606536700386,4,AFG
Albania,2020-07-29 18:35:04,41.1533,20.1683,5105.0,150.0,2830.0,2125.0,177.39245256793384,,,2.9382957884427032,8,ALB
Algeria,2020-07-29 18:35:04,28.0339,1.6596,29229.0,1186.0,19592.0,8451.0,66.65519905649678,,,4.057614013479763,12,DZA
Andorra,2020-07-29 18:35:04,42.5063,1.5218,918.0,52.0,804.0,62.0,1188.118811881188,,,5.664488017429194,20,AND
Angola,2020-07-29 18:35:04,-11.2027,17.8739,1000.0,47.0,266.0,687.0,3.04263325547032,,,4.7,24,AGO
Antigua and Barbuda,2020-07-29 18:35:04,17.0608,-61.7964,86.0,3.0,65.0,18.0,87.81962257985458,,,3.4883720930232562,28,ATG
Argentina,2020-07-29 18:35:04,-38.4161,-63.6167,173355.0,3200.0,77855.0,92300.0,383.564597196769,,,1.8459231057656251,32,ARG
Armenia,2020-07-29 18:35:04,40.0691,45.0382,37937.0,723.0,27824.0,9390.0,1280.2566385239913,,,1.9057911801144003,51,ARM
Azerbaijan,2020-07-29 18:35:04,40.1431,47.5769,31221.0,438.0,24495.0,6288.0,307.92446130972195,,,1.4029018929566637,31,AZE
Bahamas,2020-07-29 18:35:04,25.025885,-78.035889,447.0,11.0,91.0,345.0,113.6687281308487,,,2.460850111856823,44,BHS
